Prior,t,n,0,1,2
Needle In Haystack High,126,1,1,0,1
Needle In Haystack High,127,1,1,1,1
Needle In Haystack High,128,1,1,0,0
Needle In Haystack High,129,1,1,0,1
Needle In Haystack High,130,1,0,1,1
Needle In Haystack High,131,1,1,0,0
Needle In Haystack High,132,1,1,1,0
Needle In Haystack High,133,1,1,1,1
Needle In Haystack High,134,1,1,1,1
Needle In Haystack High,135,1,0,0,1
Needle In Haystack High,136,1,1,1,1
Needle In Haystack High,137,1,1,1,1
Needle In Haystack High,138,1,1,1,1
Needle In Haystack High,139,1,1,1,1
Needle In Haystack High,140,1,0,1,1
Needle In Haystack High,141,1,1,1,0
Needle In Haystack High,142,1,0,0,1
Needle In Haystack High,143,1,1,1,0
Needle In Haystack High,144,1,0,1,0
Needle In Haystack High,145,1,1,1,1
Needle In Haystack High,146,1,0,1,0
Needle In Haystack High,147,1,1,1,0
Needle In Haystack High,148,1,1,1,1
Needle In Haystack High,149,1,1,0,1
Needle In Haystack High,150,1,1,0,0
Needle In Haystack High,151,1,1,1,1
Needle In Haystack High,152,1,1,1,0
Needle In Haystack High,153,1,1,1,0
Needle In Haystack High,154,1,1,1,0
Needle In Haystack High,155,1,0,1,1
Needle In Haystack High,156,1,1,1,0
Needle In Haystack High,157,1,1,0,0
Needle In Haystack High,158,1,0,1,0
Needle In Haystack High,159,1,1,1,1
Needle In Haystack High,160,1,0,0,1
Needle In Haystack High,161,1,1,0,0
Needle In Haystack High,162,1,1,0,0
Needle In Haystack High,163,1,1,0,0
Needle In Haystack High,164,1,0,0,0
Needle In Haystack High,165,1,0,0,1
Needle In Haystack High,166,1,1,1,1
Needle In Haystack High,167,1,0,0,1
Needle In Haystack High,168,1,0,0,1
Needle In Haystack High,169,1,0,1,1
Needle In Haystack High,170,1,1,0,0
Needle In Haystack High,171,1,0,1,0
Needle In Haystack High,172,1,1,1,1
Needle In Haystack High,173,1,1,1,1
Needle In Haystack High,174,1,0,1,1
Needle In Haystack High,175,1,0,1,1
Needle In Haystack High,176,1,1,1,1
Needle In Haystack High,177,1,0,0,0
Needle In Haystack High,178,1,1,1,1
Needle In Haystack High,179,1,0,1,0
Needle In Haystack High,180,1,0,1,1
Needle In Haystack High,181,1,1,0,1
Needle In Haystack High,182,1,1,0,1
Needle In Haystack High,183,1,1,0,0
Needle In Haystack High,184,1,1,1,0
Needle In Haystack High,185,1,0,1,1
Needle In Haystack High,186,1,1,0,1
Needle In Haystack High,187,1,1,0,0
Needle In Haystack High,188,1,1,0,1
Needle In Haystack High,189,1,1,1,0
Needle In Haystack High,190,1,1,0,0
Needle In Haystack High,191,1,0,1,1
Needle In Haystack High,192,1,0,1,0
Needle In Haystack High,193,1,0,0,0
Needle In Haystack High,194,1,1,1,1
Needle In Haystack High,195,1,0,1,1
Needle In Haystack High,196,1,0,1,1
Needle In Haystack High,197,1,1,1,1
Needle In Haystack High,198,1,0,1,0
Needle In Haystack High,199,1,0,1,0
Needle In Haystack High,200,1,1,1,0
Needle In Haystack High,201,1,1,1,0
Needle In Haystack High,202,1,0,0,0
Needle In Haystack High,203,1,0,1,1
Needle In Haystack High,204,1,0,0,0
Needle In Haystack High,205,1,1,0,0
Needle In Haystack High,206,1,1,0,1
Needle In Haystack High,207,1,1,1,0
Needle In Haystack High,208,1,0,1,1
Needle In Haystack High,209,1,1,1,0
Needle In Haystack High,210,1,0,1,0
Needle In Haystack High,211,1,1,1,1
Needle In Haystack High,212,1,0,1,0
Needle In Haystack High,213,1,1,1,1
Needle In Haystack High,214,1,1,1,0
Needle In Haystack High,215,1,0,1,0
Needle In Haystack High,216,1,0,1,0
Needle In Haystack High,217,1,0,1,0
Needle In Haystack High,218,1,1,1,0
Needle In Haystack High,219,1,1,1,1
Needle In Haystack High,220,1,1,1,0
Needle In Haystack High,221,1,1,1,0
Needle In Haystack High,222,1,1,1,0
Needle In Haystack High,223,1,1,1,0
Needle In Haystack High,224,1,1,1,0
Needle In Haystack High,225,1,1,0,0
Needle In Haystack High,226,1,1,1,0
Needle In Haystack High,227,1,0,1,1
Needle In Haystack High,228,1,1,1,1
Needle In Haystack High,229,1,0,1,1
Needle In Haystack High,230,1,1,1,0
Needle In Haystack High,231,1,0,0,0
Needle In Haystack High,232,1,0,0,1
Needle In Haystack High,233,1,1,1,1
Needle In Haystack High,234,1,1,1,0
Needle In Haystack High,235,1,0,1,0
Needle In Haystack High,236,1,0,1,0
Needle In Haystack High,237,1,1,1,1
Needle In Haystack High,238,1,1,1,1
Needle In Haystack High,239,1,0,1,0
Needle In Haystack High,240,1,0,1,0
Needle In Haystack High,241,1,1,1,1
Needle In Haystack High,242,1,1,1,0
Needle In Haystack High,243,1,1,0,0
Needle In Haystack High,244,1,0,1,0
Needle In Haystack High,245,1,0,0,1
Needle In Haystack High,246,1,0,0,1
Needle In Haystack High,247,1,0,1,1
Needle In Haystack High,248,1,1,0,1
Needle In Haystack High,249,1,1,1,1
Needle In Haystack High,0,2,1,1,0
Needle In Haystack High,1,2,1,1,0
Needle In Haystack High,2,2,1,1,1
Needle In Haystack High,3,2,1,0,0
Needle In Haystack High,4,2,1,0,0
Needle In Haystack High,5,2,0,1,0
Needle In Haystack High,6,2,0,1,0
Needle In Haystack High,7,2,1,1,0
Needle In Haystack High,8,2,1,0,1
Needle In Haystack High,9,2,1,0,1
Needle In Haystack High,10,2,1,1,1
Needle In Haystack High,11,2,1,1,1
Needle In Haystack High,12,2,1,1,0
Needle In Haystack High,13,2,0,1,0
Needle In Haystack High,14,2,1,0,1
Needle In Haystack High,15,2,0,1,1
Needle In Haystack High,16,2,1,1,0
Needle In Haystack High,17,2,1,0,1
Needle In Haystack High,18,2,0,0,1
Needle In Haystack High,19,2,0,1,1
Needle In Haystack High,20,2,0,1,0
Needle In Haystack High,21,2,1,0,0
Needle In Haystack High,22,2,1,1,0
Needle In Haystack High,23,2,0,1,1
Needle In Haystack High,24,2,0,0,0
Needle In Haystack High,25,2,1,1,0
Needle In Haystack High,26,2,1,1,1
Needle In Haystack High,27,2,0,1,1
Needle In Haystack High,28,2,0,0,0
Needle In Haystack High,29,2,0,1,1
Needle In Haystack High,30,2,1,0,0
Needle In Haystack High,31,2,1,1,0
Needle In Haystack High,32,2,1,1,0
Needle In Haystack High,33,2,0,1,1
Needle In Haystack High,34,2,1,1,0
Needle In Haystack High,35,2,1,0,1
Needle In Haystack High,36,2,1,1,0
Needle In Haystack High,37,2,0,1,0
Needle In Haystack High,38,2,1,1,1
Needle In Haystack High,39,2,1,1,1
Needle In Haystack High,40,2,1,1,0
Needle In Haystack High,41,2,0,1,1
Needle In Haystack High,42,2,1,1,1
Needle In Haystack High,43,2,0,0,1
Needle In Haystack High,44,2,0,1,1
Needle In Haystack High,45,2,1,1,0
Needle In Haystack High,46,2,1,0,1
Needle In Haystack High,47,2,0,1,0
Needle In Haystack High,48,2,0,1,1
Needle In Haystack High,49,2,0,1,1
Needle In Haystack High,50,2,0,1,0
Needle In Haystack High,51,2,1,1,1
Needle In Haystack High,52,2,1,1,1
Needle In Haystack High,53,2,0,1,1
Needle In Haystack High,54,2,1,0,0
Needle In Haystack High,55,2,1,0,0
Needle In Haystack High,56,2,1,0,1
Needle In Haystack High,57,2,0,1,0
Needle In Haystack High,58,2,0,0,1
Needle In Haystack High,59,2,0,1,0
Needle In Haystack High,60,2,1,0,0
Needle In Haystack High,61,2,0,1,0
Needle In Haystack High,62,2,1,0,0
Needle In Haystack High,63,2,1,0,1
Needle In Haystack High,64,2,0,1,0
Needle In Haystack High,65,2,1,0,1
Needle In Haystack High,66,2,1,1,0
Needle In Haystack High,67,2,0,1,1
Needle In Haystack High,68,2,1,0,1
Needle In Haystack High,69,2,1,1,0
Needle In Haystack High,70,2,0,1,0
Needle In Haystack High,71,2,0,1,1
Needle In Haystack High,72,2,0,1,0
Needle In Haystack High,73,2,1,1,0
Needle In Haystack High,74,2,1,0,0
Needle In Haystack High,75,2,0,1,1
Needle In Haystack High,76,2,0,0,0
Needle In Haystack High,77,2,1,1,0
Needle In Haystack High,78,2,1,1,1
Needle In Haystack High,79,2,0,1,0
Needle In Haystack High,80,2,0,0,0
Needle In Haystack High,81,2,1,1,0
Needle In Haystack High,82,2,0,1,0
Needle In Haystack High,83,2,1,0,1
Needle In Haystack High,84,2,1,1,0
Needle In Haystack High,85,2,0,1,1
Needle In Haystack High,86,2,0,0,1
Needle In Haystack High,87,2,1,1,0
Needle In Haystack High,88,2,0,1,1
Needle In Haystack High,89,2,0,0,1
Needle In Haystack High,90,2,1,1,1
Needle In Haystack High,91,2,0,1,0
Needle In Haystack High,92,2,0,0,1
Needle In Haystack High,93,2,0,1,1
Needle In Haystack High,94,2,0,1,1
Needle In Haystack High,95,2,1,1,1
Needle In Haystack High,96,2,0,1,1
Needle In Haystack High,97,2,0,1,1
Needle In Haystack High,98,2,0,0,1
Needle In Haystack High,99,2,0,1,0
Needle In Haystack High,100,2,1,1,0
Needle In Haystack High,101,2,1,1,0
Needle In Haystack High,102,2,1,0,1
Needle In Haystack High,103,2,1,1,0
Needle In Haystack High,104,2,0,1,1
Needle In Haystack High,105,2,1,0,1
Needle In Haystack High,106,2,0,1,0
Needle In Haystack High,107,2,0,0,1
Needle In Haystack High,108,2,0,0,1
Needle In Haystack High,109,2,1,1,0
Needle In Haystack High,110,2,0,1,1
Needle In Haystack High,111,2,1,1,0
Needle In Haystack High,112,2,1,0,0
Needle In Haystack High,113,2,0,1,0
Needle In Haystack High,114,2,0,0,0
Needle In Haystack High,115,2,0,1,0
Needle In Haystack High,116,2,1,1,0
Needle In Haystack High,117,2,0,0,0
Needle In Haystack High,118,2,0,0,0
Needle In Haystack High,119,2,0,1,0
Needle In Haystack High,120,2,1,1,0
Needle In Haystack High,121,2,1,1,1
Needle In Haystack High,122,2,1,0,1
Needle In Haystack High,123,2,0,1,1
Needle In Haystack High,124,2,0,1,0
Needle In Haystack High,125,2,1,0,0
Needle In Haystack High,126,2,1,0,1
Needle In Haystack High,127,2,1,1,1
Needle In Haystack High,128,2,1,1,0
Needle In Haystack High,129,2,0,1,0
Needle In Haystack High,130,2,1,1,1
Needle In Haystack High,131,2,0,1,0
Needle In Haystack High,132,2,1,0,0
Needle In Haystack High,133,2,0,1,0
Needle In Haystack High,134,2,0,1,0
Needle In Haystack High,135,2,1,0,1
Needle In Haystack High,136,2,0,0,1
Needle In Haystack High,137,2,1,1,0
Needle In Haystack High,138,2,1,1,1
Needle In Haystack High,139,2,0,0,0
Needle In Haystack High,140,2,0,1,1
Needle In Haystack High,141,2,1,1,0
Needle In Haystack High,142,2,0,0,1
Needle In Haystack High,143,2,1,0,0
Needle In Haystack High,144,2,0,0,0
Needle In Haystack High,145,2,0,1,1
Needle In Haystack High,146,2,0,1,1
Needle In Haystack High,147,2,0,1,1
Needle In Haystack High,148,2,0,1,1
Needle In Haystack High,149,2,1,0,1
Needle In Haystack High,150,2,0,0,1
Needle In Haystack High,151,2,1,1,1
Needle In Haystack High,152,2,0,1,0
Needle In Haystack High,153,2,0,1,0
Needle In Haystack High,154,2,0,1,1
Needle In Haystack High,155,2,1,1,1
Needle In Haystack High,156,2,0,1,0
Needle In Haystack High,157,2,1,1,1
Needle In Haystack High,158,2,0,0,0
Needle In Haystack High,159,2,1,0,1
Needle In Haystack High,160,2,0,1,1
Needle In Haystack High,161,2,1,1,1
Needle In Haystack High,162,2,1,0,0
Needle In Haystack High,163,2,0,1,0
Needle In Haystack High,164,2,0,1,1
Needle In Haystack High,165,2,0,0,1
Needle In Haystack High,166,2,1,1,1
Needle In Haystack High,167,2,0,0,1
Needle In Haystack High,168,2,1,1,1
Needle In Haystack High,169,2,0,1,0
Needle In Haystack High,170,2,1,1,1
Needle In Haystack High,171,2,1,1,1
Needle In Haystack High,172,2,0,1,1
Needle In Haystack High,173,2,1,0,0
Needle In Haystack High,174,2,0,0,1
Needle In Haystack High,175,2,0,1,1
Needle In Haystack High,176,2,1,0,1
Needle In Haystack High,177,2,0,1,1
Needle In Haystack High,178,2,0,0,0
Needle In Haystack High,179,2,0,0,0
Needle In Haystack High,180,2,0,1,1
Needle In Haystack High,181,2,0,1,1
Needle In Haystack High,182,2,0,0,1
Needle In Haystack High,183,2,0,1,0
Needle In Haystack High,184,2,0,1,1
Needle In Haystack High,185,2,1,1,0
Needle In Haystack High,186,2,1,1,1
Needle In Haystack High,187,2,0,0,0
Needle In Haystack High,188,2,0,1,0
Needle In Haystack High,189,2,0,1,1
Needle In Haystack High,190,2,0,0,0
Needle In Haystack High,191,2,0,1,0
Needle In Haystack High,192,2,0,0,1
Needle In Haystack High,193,2,1,0,0
Needle In Haystack High,194,2,0,1,0
Needle In Haystack High,195,2,1,1,1
Needle In Haystack High,196,2,1,1,1
Needle In Haystack High,197,2,0,1,1
Needle In Haystack High,198,2,1,1,1
Needle In Haystack High,199,2,1,1,0
Needle In Haystack High,200,2,1,0,1
Needle In Haystack High,201,2,1,1,0
Needle In Haystack High,202,2,0,1,0
Needle In Haystack High,203,2,1,1,0
Needle In Haystack High,204,2,1,1,1
Needle In Haystack High,205,2,0,1,0
Needle In Haystack High,206,2,1,1,1
Needle In Haystack High,207,2,1,1,0
Needle In Haystack High,208,2,0,1,1
Needle In Haystack High,209,2,1,0,1
Needle In Haystack High,210,2,0,1,0
Needle In Haystack High,211,2,1,1,0
Needle In Haystack High,212,2,1,1,0
Needle In Haystack High,213,2,0,1,0
Needle In Haystack High,214,2,0,1,1
Needle In Haystack High,215,2,1,0,1
Needle In Haystack High,216,2,1,0,1
Needle In Haystack High,217,2,0,0,0
Needle In Haystack High,218,2,1,0,0
Needle In Haystack High,219,2,0,1,1
Needle In Haystack High,220,2,1,1,1
Needle In Haystack High,221,2,0,1,0
Needle In Haystack High,222,2,1,0,1
Needle In Haystack High,223,2,0,1,0
Needle In Haystack High,224,2,0,0,0
Needle In Haystack High,225,2,0,0,1
Needle In Haystack High,226,2,0,1,0
Needle In Haystack High,227,2,0,1,0
Needle In Haystack High,228,2,1,1,0
Needle In Haystack High,229,2,0,0,0
Needle In Haystack High,230,2,1,1,0
Needle In Haystack High,231,2,0,1,0
Needle In Haystack High,232,2,1,1,1
Needle In Haystack High,233,2,1,1,1
Needle In Haystack High,234,2,0,1,0
Needle In Haystack High,235,2,1,0,0
Needle In Haystack High,236,2,0,1,1
Needle In Haystack High,237,2,0,1,1
Needle In Haystack High,238,2,0,1,0
Needle In Haystack High,239,2,0,1,1
Needle In Haystack High,240,2,1,0,0
Needle In Haystack High,241,2,1,0,1
Needle In Haystack High,242,2,1,1,1
Needle In Haystack High,243,2,0,0,1
Needle In Haystack High,244,2,0,1,0
Needle In Haystack High,245,2,0,0,0
Needle In Haystack High,246,2,0,1,1
Needle In Haystack High,247,2,1,0,1
Needle In Haystack High,248,2,1,0,1
Needle In Haystack High,249,2,0,1,0
